3
48,50
-1.49665,1.90109,0.0200048
-1.64408,1.90911,-0.33284
-1.16623,1.61927,-0.0945888
-1.6349,1.48046,-0.13491
-1.94295,2.11918,0.150073
-1.64248,2.31929,0.346437
-1.32958,1.7554,0.090692
-1.27368,1.67528,0.296949
-1.12975,1.59367,-0.402188
-1.41548,1.9323,0.489817
-1.58325,2.36618,-0.288484
-1.74698,1.71875,0.219538
-1.59983,1.54918,0.43772
-1.21442,1.91093,0.517096
-1.86934,1.96464,0.235186
-1.23927,2.31881,0.153386
-1.41284,1.98589,0.507698
-1.84215,1.70886,-0.218115
-1.06521,1.57577,-0.0255375
-1.9874,2.15694,0.505673
-1.01759,1.57034,0.470765
-1.82607,1.82001,-0.211572
-1.12654,2.21684,-0.0634814
-1.20883,1.99907,0.446364
-1.21174,2.12638,0.00991262
-1.49655,1.88376,-0.0723622
-1.86317,1.46758,0.51244
-1.87548,1.62208,-0.179789
-1.6136,1.55353,-0.00511232
-1.15914,1.56279,-0.249264
-1.17347,1.54185,-0.0800101
-1.22271,1.71243,0.338912
-1.95429,1.58254,0.154659
-1.53778,2.37037,-0.247365
-1.61142,2.15529,0.477927
-1.12151,1.65539,-0.0393964
-1.71388,1.78887,0.0270962
-1.72144,1.91005,0.248092
-1.42123,2.2931,0.400536
-1.94635,2.13061,-0.437766
-1.71562,1.95379,-0.297
-1.31564,1.72773,0.0143443
-1.49673,1.7701,0.1958
-1.86207,2.22898,0.165084
-1.62944,1.61421,-0.080714
-1.67152,1.48936,0.173588
-1.23092,1.77214,-0.438629
-1.72383,2.04735,0.070329
-1.99574,1.62277,-0.0376582
-1.11521,1.67307,-0.308133
-1.07298,1.9541,0.244573
-1.27023,1.95011,0.260284
-1.41766,1.95813,-0.0925616
-0.939808,1.66829,0.14569
-1.40848,1.52949,0.105369
-1.71653,2.1682,0.390352
-1.41606,2.36831,0.586716
-1.10316,1.80442,0.330971
-1.04727,1.7243,0.537227
-0.903328,1.64269,-0.161909
-1.18906,1.98132,0.730096
-1.35683,2.4152,-0.0482051
-1.52057,1.76777,0.459817
-1.37341,1.5982,0.677999
-0.988004,1.95996,0.757375
-1.64292,2.01366,0.475465
-1.01285,2.36783,0.393665
-1.18642,2.03491,0.747977
-1.61573,1.75788,0.0221637
-0.838787,1.62479,0.214741
-1.76098,2.20596,0.745951
-0.791167,1.61936,0.711043
-1.59966,1.86903,0.0287072
-0.900123,2.26586,0.176797
-0.982407,2.04809,0.686643
-0.985316,2.1754,0.250191
-1.27013,1.93279,0.167917
-1.63675,1.5166,0.752719
-1.64906,1.67111,0.0604896
-1.38718,1.60255,0.235166
-0.932722,1.61181,-0.00898505
-0.947054,1.59088,0.160269
-0.996294,1.76145,0.579191
-1.72787,1.63157,0.394937
-1.31136,2.41939,-0.00708608
-1.385,2.20431,0.718206
-0.89509,1.70441,0.200882
-1.48746,1.83789,0.267375
-1.49502,1.95907,0.488371
-1.19482,2.34212,0.640815
-1.71993,2.17964,-0.197487
-1.4892,2.00282,-0.0567212
-1.08922,1.77676,0.254623
-1.27031,1.81912,0.436079
-1.63565,2.278,0.405363
-1.40302,1.66323,0.159565
-1.4451,1.53838,0.413867
-1.0045,1.82116,-0.19835
-1.49741,2.09637,0.310608
-1.76932,1.67179,0.202621
-0.888793,1.72209,-0.0678541
-0.846564,2.00312,0.484852
-1.07762,1.72005,0.38955
-1.22505,1.72807,0.0367044
-0.747198,1.43823,0.274956
-1.21587,1.29942,0.234635
-1.52392,1.93814,0.519618
-1.22345,2.13825,0.715982
-0.910548,1.57436,0.460237
-0.854656,1.49423,0.666493
-0.710719,1.41263,-0.0326429
-0.996453,1.75126,0.859362
-1.16422,2.18514,0.0810609
-1.32796,1.53771,0.589083
-1.1808,1.36814,0.807265
-0.795394,1.72989,0.886641
-1.45031,1.7836,0.604731
-0.820241,2.13777,0.522931
-0.993808,1.80485,0.877243
-1.42312,1.52782,0.15143
-0.646177,1.39472,0.344007
-1.56837,1.9759,0.875217
-0.598557,1.3893,0.840309
-1.40705,1.63897,0.157973
-0.707513,2.03579,0.306063
-0.789797,1.81802,0.815909
-0.792706,1.94534,0.379457
-1.07752,1.70272,0.297183
-1.44414,1.28654,0.881985
-1.45645,1.44104,0.189756
-1.19457,1.37249,0.364432
-0.740112,1.38175,0.120281
-0.754444,1.36081,0.289535
-0.803684,1.53139,0.708457
-1.53526,1.4015,0.524204
-1.11875,2.18933,0.12218
-1.19239,1.97425,0.847472
-0.70248,1.47435,0.330148
-1.29485,1.60783,0.396641
-1.30241,1.72901,0.617637
-1.00221,2.11206,0.770081
-1.52732,1.94957,-0.0682208
-1.29659,1.77275,0.0725449
-0.896607,1.54669,0.383889
-1.0777,1.58906,0.565345
-1.44305,2.04794,0.534629
-1.21041,1.43317,0.288831
-1.25249,1.30832,0.543133
-0.811893,1.59109,-0.0690841
-1.3048,1.86631,0.439874
-1.57671,1.44173,0.331887
-0.696183,1.49203,0.0614119
-0.653954,1.77306,0.614118
-1.12586,1.43591,0.207089
-1.27329,1.44393,-0.145756
-0.795434,1.15409,0.0924956
-1.26411,1.01529,0.0521749
-1.57216,1.654,0.337157
-1.27168,1.85411,0.533522
-0.958783,1.29022,0.277776
-0.902892,1.2101,0.484033
-0.758954,1.12849,-0.215103
-1.04469,1.46712,0.676902
-1.21246,1.901,-0.101399
-1.37619,1.25358,0.406623
-1.22904,1.084,0.624805
-0.84363,1.44576,0.70418
-1.49854,1.49946,0.422271
-0.868477,1.85364,0.340471
-1.04204,1.52071,0.694783
-1.47136,1.24368,-0.0310306
-0.694413,1.11059,0.161547
-1.61661,1.69176,0.692757
-0.646793,1.10517,0.657849
-1.45528,1.35484,-0.0244872
-0.755749,1.75166,0.123603
-0.838033,1.53389,0.633448
-0.840942,1.6612,0.196997
-1.12576,1.41859,0.114722
-1.49238,1.00241,0.699524
-1.50469,1.15691,0.00729522
-1.24281,1.08836,0.181972
-0.788348,1.09761,-0.0621794
-0.80268,1.07668,0.107074
-0.85192,1.24726,0.525997
-1.5835,1.11737,0.341743
-1.16698,1.9052,-0.0602804
-1.24062,1.69011,0.665012
-0.750716,1.19021,0.147688
-1.34308,1.3237,0.214181
-1.35065,1.44487,0.435177
-1.05044,1.82793,0.58762
